employee_id,nama,tanggal_bergabung,tanggal_isi_survei,jenis_kelamin,usia,pendidikan_terakhir,status_pernikahan,jumlah_tanggungan,departemen,jabatan,lama_bekerja_tahun,tipe_perusahaan,ukuran_perusahaan,rentang_gaji,status_wfh,jenis_shift,jam_kerja_per_hari,jam_lembur_per_hari,hari_kerja_per_minggu,frekuensi_meeting_per_hari,beban_kerja_persepsi,jumlah_deadline_per_minggu,jam_tidur_per_hari,kualitas_tidur,waktu_tidur_malam,jam_istirahat_siang,frekuensi_olahraga_per_minggu,durasi_olahraga_menit,jam_layar_per_hari,konsumsi_kafein_per_hari,status_merokok,pola_makan,tingkat_stres,tingkat_kecemasan,tingkat_depresi,motivasi_kerja,kepuasan_kerja,work_life_balance,produktivitas_diri,kemampuan_konsentrasi,dukungan_sosial_rekan,dukungan_atasan,keluhan_fisik_utama,riwayat_kesehatan_mental,akses_layanan_kesehatan_mental,frekuensi_konflik_kerja,keamanan_pekerjaan,kebijakan_mh_perusahaan,status_kesehatan_mental,deskripsi_keluhan,tingkat_burnout
EMP25501,Bakti Santoso,24-Feb-19,17-Apr-23,laki-laki,20,D3,Menikah,,Engineering,Sales Executive,0.61,Swasta,> 1000 orang,,Hybrid,pagi,14.27,0.88,5.13,6,Sedang,4,2.64,4.94,Tidak Tentu,0.87,0.6,99.92,,2,,Cukup,6.82,8.76,6.71,3.44,6.52,2.85,4.89,7.64,5.2,6.41,,Tidak Ada,Ya,1.55,Aman,Tidak Ada,Baik,sering sakit kepala,0.84
EMP20024,Upik Hassanah,6/7/2022,1/13/2022,laki,20.42,S3,Married,1,IT,Business Development,9.59,PMA,Kecil,5-8 juta,Hybrid,Malam,9.16,0.28,,1,sangat berat,2,,49.8,21:00-22:00,0.25,0.14,,6.94,2,Tidak,Tidak Teratur,5.59,6.86,20.62,n/a,,10,40.86,2.27,5.59,4.07,Tidak Ada,Burnout Sebelumnya,Tidak,8.3,Cukup Aman,Ada tapi Tidak Efektif,Baik,hubungan dengan atasan buruk,
EMP15570,H. Ega Pradipta,22-Jul-18,20-Apr-22,P,41,S1,Menikah,0,Engineering,Team Lead,0.17,Startup,51-200,8-12jt,Ya,Fleksibel,10.7,2.45,5.4,2,Sedang,2,4.62,6.91,> 02:00,0.81,1.59,91.18,9.84,,Tidak,Teratur,6.02,2.51,2.85,4.53,7.59,2.57,1.63,8.68,5.68,1.11,Nyeri Punggung,Tidak Ada,Tidak Tahu Ada,6.44,Cukup Aman,Tidak Ada,Baik,,0.96
emp-16087,Julia Haryanti,,5/19/2024,lk,21.25,Doktor,Menikah,,GA,Data Scientist,3.13,,51-200 orang,12-20jt,Ya,Shifting,8.07,0.11,5.4,3,Ringan,4,4.46,10,23:00-00:00,0.56,2.49,26.71,tidak tahu,2,Ya,Baik,4.17,2.1,6.58,,4.09,1.45,5.82,7,4.78,5.36,Mata Lelah,Tidak Ada,Ya,3.17,Cukup Aman,Ada,Baik,,0.25
KRY23622,,7/1/2025,20-Feb-19,L,39.75,S1,menikah,2,Sales,Sales Executive,8.92,startup,501-1000 orang,12-20 juta,Tidak,Fleksibel,7.85,0.07,6.82,3,,1,5.56,6,> 02:00,,2.81,279.22,13.48,1,Tidak,Teratur,8.18,4.26,2,6.84,3.66,5.7,3.75,1.74,7.63,6.81,Tidak Ada,Tidak Ada,Ya,4.2,Aman,Ya,Cukup,tidak ada work life balance,
EMP13796,Warsa Wasita,1/14/2026,8-Aug-24,lk,20.31,SMP,Menikah,0,engineering,Junior Developer,1.1,swasta,> 1000 orang,3-5 juta,no,Pagi,11.84,5.31,5.25,5,Ringan,1,7.3,8.65,21:00-22:00,,1.32,,8.39,2,N/A,Teratur,9.26,3.94,3.74,,9.62,,3.68,4.44,8.16,54.13,Sakit Kepala,Tidak Ada,Belum Pernah,5.48,Sangat Aman,Ada tapi Tidak Efektif,Parah,tidak ada keluhan,0.59
EMP17977,"Cut Ghaliyati Megantara, M.Pd",,9/1/2026,P,27.07,D3,Menikah,0,finance,Scrum Master,1.09,Swasta,10-50 orang,5-8 juta,Ya,Pagi,11.69,2.4,4.98,1,Berat,1,8.75,?,21:00-22:00,1.64,0.32,,7.5,,Ya,Baik,10,7.93,3.72,6.85,7.14,4.9,5.96,8.69,4.65,10,Tidak Ada,-,Ya,5.04,Aman,Tidak Tahu,Tidak Baik,gaji tidak cukup,0.62
kry_27665,,0000-00-00,17/10/2018,,30.52,S-2,Belum Menikah,2,Design,Data Analyst,0.68,Corporate,201-500 orang,5jt-8jt,Ya,Siang,10.36,1.65,4.69,,Sangat Berat,1,7.56,6.74,22:00-23:00,0.82,3.2,418.79,9,4,Ya,Tidak Teratur,5.95,5.67,7.12,5.38,7.43,3.63,2.08,8.27,5.27,,Kelelahan Fisik,Kecemasan,tidak,7.23,Sangat Khawatir,,OK,tidak ada keluhan,0.76
26918,"drg. Umaya Hasanah, S.T.",26/07/2023,3/6/2018,Perempuan,18,D3,belum menikah,2,Ops,Operations Staff,-15.56,BUMN,10-50 orang,N/A,Hybrid,Siang,8.23,0.04,4.56,4,Berat,,3.6,2.57,tidak tentu,0.44,0.87,0,6.1,5,Tidak,Sangat Buruk,9.3,5.69,5.49,2.63,5.96,6.2,6.84,4.73,5.1,6.63,Sakit Kepala,Tidak Ada,ya,5.21,Cukup Aman,Ada,Good,kadang2 stress,
kry_12660,"Darmanto Agustina, M.Pd",5/13/2023,14-12-2022,L,31.04,s2,Menikah,0,Data,Marketing Manager,2.51,Corporate,51-200 orang,5-8 juta,Tidak,Fleksibel,6.57,,5.1,3,Heavy,4,4.99,8.17,00:00-01:00,1.01,0.84,15.67,7.41,1,Tidak,Teratur,5.68,32.68,2.88,3.95,10,,7.23,2.91,9.33,5,Pusing,Pernah Depresi,Tidak,1.69,tidak aman,Ya,Sangat Buruk,hubungan dengan atasan buruk,
22574,Maria Prakasa,,9/19/2018,Pria,,D3,Menikah,2,IT,HR Specialist,5.59,BUMN,51-200 orang,5-8 juta,,12:00-21:00,,2.52,6.29,3,Berat,4,,,> 02:00,0.88,5.37,20.53,6.56,1,tidak,Tidak Teratur,9.28,,6.94,7.93,6.94,1,6.98,5.18,3.27,5.32,Tidak Ada,Burnout Sebelumnya,,3.42,Sangat Aman,Tidak Ada,Buruk,sering merasa lelah,0.33
8081,"Nrima Rajata, M.Kom.",8-Aug-20,12/21/2020,Wanita,,S1,Menikah,2,,Software Engineer,5.25,Startup,10-50 orang,5-8 juta,ya,Siang,9.3,0.87,4.19,1,Sedang,3,5.39,24.45,01:00-02:00,0.85,1.66,56.93,10.03,0,Iya,Baik,5.43,6.48,,2.06,4.76,5.54,,6.32,,3.97,Jantung Berdebar,Kecemasan,Ya,7.04,Aman,Ada,Cukup Baik,mood swing,0.85
kry_22531,Suci Situmorang,7-Jun-25,12/28/2020,Pria,25.73,s1,single,,Human Resources,Data Analyst,1.5,Startup,10-50 orang,8-12 juta,Ya,Rotasi,9.1,0.77,4.92,4,Berat,3,6.45,3.19,12 malam,,2.02,54.35,9.89,2,Tidak,Cukup,7.73,29.2,2.92,6.57,5.29,8.4,4.13,3.99,5.21,5.35,Jantung Berdebar,Kecemasan,Tidak,6.5,aman,Tidak Tahu,Cukup Baik,tidak ada work life balance,0.88
KRY12298,,29/09/2025,2/2/2023,lk,27.96,S1,Menikah,2,Sales,Data Scientist,4.39,Korporat,Kecil,> 30 juta,Ya,Pagi,10.05,0.23,5.83,4,Sangat Berat,,5.76,1.43,00:00-01:00,0.62,0.44,56.45,5.3,1,Tidak,Cukup,6.49,9.16,,4.55,4.99,3.15,,8.72,6.26,5.19,Kelelahan Fisik,Pernah Depresi,,3.15,Aman,Tidak Ada,Sangat Buruk,tidak ada work life balance,0.59
emp-0481,Tania Handayani,tidak ingat,6/13/2019,female,28.1,S2,Lajang,1,operasional,Sales Executive,unknown,Freelance,501-1000 orang,5-8 juta,yes,Fleksibel,9.94,,7,3,Ringan,2,7.32,4.49,23:00-00:00,0.63,0.68,44.89,6.15,,no,Sering Skip Makan,3.85,3.81,2.14,8.01,1.33,1.59,6.35,8.54,2.53,5.28,Sakit Kepala,Burnout Sebelumnya,,7.22,Aman,Tidak Ada,baik,overwhelmed,0.8
ID3552,"H. Gatra Handayani, S.IP",24-Jan-22,6/25/2022,Laki-laki,18.02,S1,Menikah,1,Research,Staff,8.78,corporate,501-1000 orang,8-12 juta,Ya,Pagi,100.24,0.44,4.65,1,Medium,7,3.09,2.74,00:00-01:00,0.89,1.09,41.19,4.69,4,Tidak,buruk,8.05,5.17,3.22,4.65,5.23,1.59,6.06,7.13,8.75,5.96,Sakit Kepala,Burnout Sebelumnya,Tidak,4.6,Aman,Tidak Ada,Baik,sering sakit kepala,0.74
ID10660,Dipa Laksita,,9-Apr-25,laki-laki,23.43,Sarjana,Married,1,Teknik,Product Manager,1.6,Startup,Menengah,tidak mau menyebutkan,Tidak,Siang,9.94,1.34,4.74,5,Sedang,1,7.11,5.02,22:00-23:00,0.51,0.28,28.76,3.65,4,Kadang,Baik,6.31,7.82,,6.14,7.07,6.16,7.13,7.01,3.58,3.22,Mata Lelah,Anxiety,Tidak,2.77,Cukup Aman,Tidak Ada,Cukup Baik,kerja terlalu banyak,0.45
ID24278,Vera Tamba,,2/11/2024,Laki-laki,31.03,s1,Menikah,3,Operations,Finance Manager,6.41,Swasta,501-1000 orang,8-12 juta,Tidak,Pagi,8.51,,7,6,Berat,1,7.82,9.2,22:00-23:00,4.6,2.43,58.72,,2,Ya,Jarang Makan,8.23,5.52,4.38,,5.99,,4.53,6.87,7.44,10,Mual,Depresi,Sudah Pernah,5.31,Aman,Ya,Tidak Baik,susah fokus kerja,0.47
28562,,2/12/2024,16-12-2022,Perempuan,20.55,S3,menikah,3,Logistik,Akuntan,2.18,BUMN,201-500,12-20 juta,Kadang,Flexible,12.34,2.27,5.71,4,Ringan,?,46.11,6.52,22:00-23:00,0.54,0.02,27.48,9.95,3,Tidak,Tidak Teratur,8.23,6,1.76,7.85,5.89,2.33,5.76,3.63,5.56,2.34,Sakit Kepala,Tidak,Ya,3.29,cukup aman,Tidak Ada,buruk,hubungan dengan atasan buruk,0.53
15170,Natalia Prayoga,,9-Apr-22,N/A,26.36,S1,menikah,,Information Technology,HR Specialist,2.7,Lainnya,501-1000 orang,,Hybrid,08:00-17:00,9.68,0.24,5.01,3,Normal,5,5.43,3.1,10 malam,0.27,4.8,,,4,Tidak,Sedang,6.36,3.24,7.16,4.39,6.75,n/a,2.95,,4.11,,Sakit Kepala,,ya,N/A,Tidak Aman,,Sangat Buruk,kurang tidur terus,0.6
kry_27019,"Cut Siska Novitasari, S.Sos",9-Jan-20,5/6/2025,lk,18,s1,Menikah,1,Logistik,Software Engineer,1.79,Startup,Oct-50,12-20 juta,NO,Pagi,8.51,0.03,5.05,3,Sedang,1,45.77,1.23,tidak tentu,,0.74,26.47,8.39,0,Tidak,Sedang,7.41,1.32,5.57,6.92,1,5.76,4.84,8.5,5.38,4.49,Nyeri Punggung,tidak ada,Tidak,,Tidak Aman,Ada tapi Tidak Efektif,Good,kurang tidur terus,0.84
E11175,"Hairyanto Maheswara, M.Kom.",9/4/2022,31-Dec-18,Perempuan,27.31,S1,Menikah,0,Engineering,HR Manager,0.37,Startup,201-500 orang,3-5 juta,Ya,Siang,9.23,6.85,5.3,,Berat,4,4.81,35.43,Tidak Tentu,0.69,0.01,64.88,8.94,2,Tidak,Tidak Teratur,5.07,2.4,,6.83,5.62,6.45,5.84,5.38,5.84,7.23,Kelelahan Fisik,Depresi,Ya,1.98,Aman,Ada,Cukup Baik,tidak mau menjawab,1
E8121,"Tantri Astuti, S.Farm",,9-Dec-21,female,23.02,S1,Menikah,7.47,Finance,Sales Executive,6.21,CORPORATE,> 1000 orang,> 30 juta,Tidak,pagi,,0.2,5.35,5,Sangat Ringan,4,,4.38,tidak tentu,0.23,2.42,19.49,8.56,1,Sosial,Jarang Makan,5.19,7.7,,8.89,4.71,4.96,4.92,7.19,2.2,4.42,Kelelahan Fisik,Tidak Ada,Tidak Ada Akses,6.44,Netral,Tidak Tahu,Cukup,n/a,0.78
EMP26431,Tomi Nababan,17-04-2021,24-Jun-24,laki-laki,18,smk,Belum Menikah,0,Penjualan,Technical Support,8.12,Startup,Menengah,dibawah UMR,Ya,Pagi,39.33,0.85,5.83,3,Berat,3,5.49,1.56,tidak tentu,0.83,0.44,29.51,10.48,2,N/A,Teratur,9.02,5.31,3.91,5.18,1,3.39,5.33,5.61,5.57,3.36,Sakit Kepala,anxiety,Sedang Menjalani,4.18,Cukup Aman,Tidak Ada,OK,hubungan dengan atasan buruk,
EMP00583,Tgk. Calista Natsir,0000-00-00,7/16/2023,cewe,33.43,s1,Belum Menikah,2,IT,Junior Developer,2.67,PMA,Besar,20-30 juta,no,Pagi,8.64,4.73,5.32,3,Berat,3,17.97,7.16,10 malam,0.65,0.41,39,8.41,2,Ya,Tidak Teratur,,5.18,3.51,,3.7,3.95,5.41,,6.1,7.26,lelah,depresi,Sedang Menjalani,2.77,Cukup Aman,Tidak Ada,Buruk,mood swing,0.5
kry_26319,Mustika Novitasari,,2-Feb-20,PEREMPUAN,33.2,SMA/SMK,Menikah,3,finance,Backend Developer,5.05,Startup,>1000,3-5 juta,Hybrid,Malam,73.47,0.55,6.18,6,Sangat Berat,4,6.22,5.57,23:00-00:00,0.49,2.55,22.89,124.88,0,yes,Baik,6.76,,3.65,2.06,10,5.64,6.06,n/a,2.94,8.52,Sakit Kepala,Tidak Ada,Belum Pernah,6.24,Aman,Ada dan Efektif,Sangat Buruk,fine aja,0.72
EMP28475,Tgk. Dalima Mustofa,8/19/2018,5/26/2024,Perempuan,30.49,S1,Belum Menikah,1,IT,Graphic Designer,3.2,Freelance,501-1000 orang,12-20 juta,,Flexible,7.79,0.62,5.43,3,Berat,,6.32,,21:00-22:00,0.96,0.7,,8.58,1,ya,Tidak Teratur,10,8.33,19.49,5.66,6.44,3.33,,2.1,8.55,5.85,Tidak Ada,tidak ada,Ya,3.68,Tidak Aman,Tidak Tahu,Baik,sering merasa lelah,
emp-0624,Rina Gunawan,,20/03/2024,L,38.42,D3,Single,,IT,UI/UX Designer,0.64,corporate,10-50 orang,5-8 juta,Tidak,Malam,9.43,0.63,5.33,1,Berat,3,5.59,4.37,tidak tentu,1.02,1.19,37.11,4.16,2,Tidak,tidak teratur,8.33,4.63,5.16,1,4.98,8.9,1,2.74,6.06,8.97,Tidak Ada,Tidak Ada,Tidak,2.45,Tidak Aman,Ada tapi Tidak Efektif,Baik,tidak bisa tidur,0.69
EMP02765,Ani Pratiwi,4/28/2024,4/7/2019,L,30.77,SMA,Menikah,1,IT,Junior Developer,3.57,Startup,501-1000 orang,tidak mau menyebutkan,yes,Fleksibel,95.46,0.64,6.66,2,Normal,4,63.42,6.48,22:00-23:00,0.5,0.36,37.37,10.12,2,Tidak,Cukup,4.08,4.35,,1,6.35,6.9,5.47,7.84,3.51,3.43,Mata Lelah,Tidak Ada,Tidak,4.24,Netral,Ada tapi Jarang Dipakai,Buruk,tidak semangat kerja,0.75
14952,Karna Usamah,8/16/2022,5/22/2024,Perempuan,26.85,D3,single,0,Sales,Staff,2.05,Startup,51-200 orang,N/A,Iya,Malam,60.42,0.08,5.26,3,Sangat Ringan,4,,6.12,22:00-23:00,0.85,0.65,,6.79,3,Tidak,Buruk,5.13,6.53,1.44,10,3.01,,-5.59,7.21,,8.55,Mata Lelah,Kecemasan,-,7.42,Cukup Aman,Ya,Baik,takut kehilangan pekerjaan,0.61
kry_11081,Puti Puspa Winarno,12/14/2021,1/3/2021,Perempuan,28.01,S1,Menikah,0,Human Resources,Frontend Developer,0.53,Startup,>1000,3-5 juta,yes,fleksibel,9.89,0.44,6.37,0,,3,6.82,5.18,22:00-23:00,0.64,0.63,29.54,8.37,3,Tidak,Tidak Teratur,3.33,5.76,3.25,3.74,6.12,3.15,5.44,1.83,1.48,9.38,lelah,anxiety,Belum Pernah,3.29,Tidak Aman,Ada tapi Jarang Dipakai,OK,merasa tidak dihargai,0.8
EMP09098,"KH. Darmana Maheswara, M.Ak",,4/4/2021,male,31.07,SMA/SMK,Single,2,FINANCE,Technical Support,0.5,CORPORATE,501-1000 orang,5-8 juta,Hybrid,Malam,10.77,1.74,,4,Ringan,5,7.34,5.73,tidak tentu,0.68,3.22,,9.99,2,Tidak,Baik,5.36,10,3.19,4.51,2.55,1.28,2.01,6.65,3.99,4.91,Pusing,Kecemasan,Belum Pernah,6.38,Sangat Aman,Kurang Tahu,Sangat Buruk,  ,0.85
emp-15586,Rachel Lazuardi,9/10/2024,11/27/2024,laki,30.65,S3,cerai,0,Research,HR Staff,6.46,Corporate,501-1000 orang,12-20 juta,YES,Pagi,7.8,,6.36,,Tinggi,,7.04,4.8,bervariasi,0.45,,,9.35,0,Tidak Merokok,Cukup,8.33,8.24,,3.95,N/A,1.48,3.89,5.83,7.74,6.61,Tidak Ada,Tidak Ada,Belum Pernah,5.57,Aman,Kurang Tahu,Buruk,merasa tertekan,0.74
EMP29592,Kawaya Dabukke,,11/8/2024,Perempuan,32.37,S1,Menikah,1,Engineering,Backend Developer,0.84,Remote,> 1000 orang,8-12 juta,Hybrid,Pagi,7.12,1.19,n/a,9,Berat,4,6.62,,22:00-23:00,0.86,1.58,37.84,10.21,4,Tidak,Cukup,93.41,8.27,6.96,7.59,6.63,4.02,-5.7,9.23,,5.62,Sakit Kepala,tidak ada,Ya,6.06,Aman,N/A,Baik,kerja terlalu banyak,0.63
EMP12423,Kiandra Lailasari,5-Mar-24,5/27/2019,LAKI-LAKI,25.31,S1,Single,,HR,Software Engineer,1.37,Freelance,201-500 orang,8-12 juta,Tidak,Rotasi,10.19,0.03,5.87,,Tinggi,4,4.96,8.14,tidak tentu,0.27,5.23,,9.97,1,Ya,Cukup,4.64,9.69,,5.71,5.38,3.94,6.16,7.9,7.13,6.14,Tidak Ada,Pernah Depresi,Belum Pernah,8.59,Khawatir,tidak ada,Cukup Baik,susah fokus kerja,0.78
emp-27694,KH. Sidiq Dongoran,tidak ingat,1-Nov-25,Laki-laki,18,D3,Duda,0,Design,Technical Support,9.69,Corporate,51-200 orang,tidak mau menyebutkan,Ya,Siang,10.76,0.41,4.65,2,Berat,0,5.43,10,Tidak Tentu,0.2,,27,9.73,1,Tidak,tidak tahu,6.54,8.65,5.78,3.75,8.82,5.64,1,4.14,,8.33,Tidak,Pernah Depresi,Tidak,1.64,Netral,Kurang Tahu,Cukup,N/A,0.3
EMP22137,Shania Lazuardi,tidak ingat,2/10/2024,male,36.55,S1,Menikah,1,marketing,Akuntan,1.19,BUMN,51-200 orang,,Ya,Flexible,,2.23,,2,Heavy,2,4.41,,11 malam,,2.02,35.15,tidak tahu,3,kadang,Tidak Teratur,7.93,9.89,6.76,6.23,1.51,4.08,4.71,6.42,3.61,2.6,lelah,Tidak Ada,Sudah Pernah,39.85,Sangat Aman,Tidak,Buruk,stress karena deadline,
KRY02881,Olivia Wibisono,tidak ingat,2/6/2019,Laki-laki,18,sma,Belum Menikah,,CS,Team Lead,12.56,Startup,Kecil,5-8 juta,Iya,08:00-17:00,9.2,,6.28,3,Berat,2,6.82,3.36,23:00-00:00,,2.05,,9.73,6,Tidak,Sedang,6.8,4.31,5.66,3.29,6.01,2.75,,4,9.99,6.84,Jantung Berdebar,anxiety,Tidak Tahu Ada,8.92,Aman,Ada tapi Jarang Dipakai,Tidak Baik,susah fokus kerja,
13646,dr. Lalita Widiastuti,,8-Aug-24,Laki-laki,28.04,D3,Belum Menikah,1,IT,UI/UX Designer,6.15,Corporate,< 10 orang,8-12 juta,Ya,Night Shift,9.58,2.12,5.3,5,Heavy,2,7.89,5.7,00:00-01:00,11.07,2.01,22.98,6.93,1,Tidak,teratur,9.19,7.47,5.19,,6.1,1.52,7.67,8.78,?,4.22,Nyeri Punggung,Tidak Tahu,Online Konseling,6.17,Sangat Aman,Ada tapi Tidak Efektif,OK,  ,0.44
28022,Eman Maulana,21-Jul-23,2/26/2025,,,S2,Lajang,1,Marketing,Junior Developer,1.13,Swasta,501-1000 orang,12-20 juta,yes,Pagi,7.95,3.33,6.47,3,Ringan,3,,6.36,10 malam,0.66,2.01,,8.23,1,Tidak,Buruk,,3.71,1.41,5.7,4,3.01,5.97,8.94,5.67,3.04,Sakit Kepala,Anxiety,Belum Pernah,3.62,Sangat Aman,Tidak Tahu,OK,mood swing,0.78
15387,Ridwan Sitompul,,6/29/2023,Laki-laki,29.8,D3,Belum Menikah,1,IT,Graphic Designer,0.6,Pemerintah,201-500 orang,>30jt,Ya,Siang,6.34,1.02,6.23,2,Berat,1,3.35,5.73,22:00-23:00,1.11,0.17,24.99,6.34,1,Tidak,Cukup,7.83,5.13,1,4.35,6.3,3.79,6.51,4.81,8.16,4.96,Insomnia,burnout,Ya,4.16,Cukup Aman,Ya,Cukup Baik,baik-baik saja,0.59
ID20763,Cakrawangsa Lazuardi,1-Nov-25,24-Feb-22,Perempuan,22.27,S1,Menikah,0,HR,Business Development,,Startup,501-1000 orang,5-8 juta,Hybrid,,8.88,3.33,5.15,5,Berat,,5.91,7.76,tidak tentu,0.98,0.19,36.63,5.92,3,Ya,Baik,4.36,49.29,7.89,4.31,8.35,9.1,5.73,9.21,-,6.74,Mata Lelah,Kecemasan,Sudah Pernah,7.15,Khawatir,Ada,Cukup,susah fokus kerja,0.48
25539,Vera Sihombing,27-Aug-21,7/9/2020,L,,D3,Belum Menikah,0,Finance,Data Scientist,0.75,Remote,Oct-50,3-5 juta,,Night Shift,8.91,0.46,5.97,,Sangat Berat,4,4.61,N/A,23:00-00:00,0.38,5.29,24.96,-5.79,3,Ya,Sehat,4.95,7.58,3.51,,5.38,5.98,1.84,5.82,2.37,2.61,Sakit Kepala,Tidak Ada,Sudah Pernah,45.43,Aman,Ada dan Efektif,,tidak bisa tidur,0.81
EMP15305,"Emas Pradana, S.E.I",20/04/2021,15-11-2021,Laki-laki,38.13,,Belum Menikah,0,Human Resource,Data Analyst,2.65,Startup,10-50 orang,5-8 juta,Tidak,Malam,7.33,1.04,5.7,4,Sedang,4,6.45,5.87,bervariasi,0.77,,259.2,57.27,2,,Sehat,4.38,8.01,1,4.76,4.73,4.94,6.06,3.36,6.42,6.38,Pusing,Burnout Sebelumnya,tidak,8.24,Tidak Aman,Ada,Cukup Baik,tidak mau menjawab,0.56
4281,Tugiman Dongoran,27-Jul-20,2/11/2023,Laki-laki,43.65,Doktor,Belum Menikah,1,IT,Marketing Staff,2.89,BUMN,501-1000 orang,3-5jt,Ya,Pagi,,4.95,6.2,6,Berat,3,4.93,8.63,tidak tentu,0.9,3.12,53.79,3.76,1,Tidak,buruk,4.42,8.81,4.41,,4.68,4.03,7.16,7.12,4.25,5.55,Tidak Ada,Tidak Ada,Tidak,5.19,Netral,Tidak Ada,Bad,tidak ada work life balance,
19817,"Ir. Mariadi Prasasta, M.Pd",11/7/2019,18-06-2023,P,,D3,Belum Menikah,1,IT,HR Specialist,,BUMN,501-1000 orang,12-20 juta,tidak,siang,11.2,,6.16,,Sangat Ringan,2,5.13,2.27,22:00-23:00,0.98,0.41,29.92,9.27,4,no,Buruk,10,8.26,,4.7,4.65,8.53,?,6.42,1.65,,Nyeri Punggung,Tidak Ada,Pernah,6.59,Netral,,Cukup Baik,stress bgt tp masih oke,
EMP17717,R. Salsabila Fujiati,,3/7/2026,Laki-laki,28.8,,Belum Menikah,0,Research,HR Specialist,2.93,Corporate,51-200 orang,20-30 juta,Tidak,08:00-17:00,88.86,1.62,4.33,4,Berat,2,7.26,3.45,tidak tentu,0.59,2.68,22.81,5.91,2,Tidak,Sering Skip Makan,9.03,6.25,7.93,4.32,5.27,2.54,6.07,3.66,53.16,4.08,susah tidur,Kecemasan,Ya,4.3,Netral,Ada tapi Tidak Efektif,Baik,  ,0.4
E19648,Lurhur Adriansyah,,10/12/2018,cewe,18,Sarjana,Single,2,Product,-,11.07,Startup,> 1000 orang,12-20 juta,Tidak,Pagi,10.7,3.94,5.1,2,Ringan,3,,7.72,00:00-01:00,,2.18,40.15,9.91,3,tidak,Sehat,8.78,8.64,4.26,,,6.68,4.21,,6.04,,Sakit Punggung,Tidak Ada,Sudah Pernah,3.91,Tidak Aman,Ada,Sangat Buruk,,0.35
kry_22779,Prasetya Melani,,23/02/2020,Wanita,32.97,SMA/SMK,Menikah,0,IT,,3.44,swasta,>1000,8-12 juta,Hybrid,Malam,7.69,0.78,5.78,1,Berat,,7.97,2.65,00:00-01:00,0.17,0.14,17.83,5.42,0,Tidak,Cukup,6.11,8.28,8.22,2.5,7.19,1.42,,5.26,6.99,10,Tidak,Kecemasan,Tidak,6.3,aman,Tidak Ada,Buruk,kerja terlalu banyak,
emp-4809,"Sutan Dimaz Lailasari, S.Pt",6/3/2024,18-10-2021,perempuan,38.99,S1,belum menikah,2,Support,Backend Developer,9.32,Corporate,Oct-50,,Tidak,pagi,9.71,3.47,4.49,,Ringan,3,5.09,6.17,23:00-00:00,0.33,0.38,3.19,8.53,0,Tidak,Sering Skip Makan,6.89,,9.78,6.67,9.45,3.13,4.98,6.05,,7.46,Nyeri Punggung,Tidak,Tidak,6.92,Tidak Aman,Tidak Ada,Good,anxiety tinggi,0.77
emp-24675,"drg. Michelle Hastuti, M.M.",16-10-2018,10/2/2020,Perempuan,21.15,D3,Lajang,0,Marketing,Data Analyst,4.82,freelance,201-500 orang,5-8 juta,Tidak,Night Shift,8.13,3.07,4.36,3,Berat,2,5.83,6.33,12 malam,0.74,1.28,66.86,7.3,1,ya,Teratur,7.79,4.65,,27.12,3.92,5.35,4.22,5.5,6.92,6.87,Sakit Kepala,PTSD,Belum Pernah,6.75,Sangat Tidak Aman,ada,Baik,sering merasa lelah,0.49
E18627,Fitria Samosir,13/01/2020,6/17/2019,Pria,32.96,S1,Belum Menikah,1,Marketing,Team Lead,0.1,Pemerintah,> 1000 orang,dibawah UMR,Tidak,,10.04,4.54,4.7,4,Ringan,3,5.1,6.27,tidak tentu,0.82,2.26,27.67,2,-4,Tidak,cukup,6.95,-4.34,-3.11,,4.51,7.89,6.64,8.17,6.78,5.58,Sakit Kepala,Tidak Ada,Sedang Menjalani,3.83,Aman,Ada tapi Jarang Dipakai,Buruk,merasa tidak dihargai,0.36
ID26663,Nasab Sitorus,4/12/2022,12/4/2025,laki-laki,30.9,Sarjana,Belum Menikah,0,Procurement,Senior Software Engineer,1.56,Startup,> 1000 orang,12-20 juta,Tidak,Pagi,12.03,2.53,5.35,1,Sedang,3,,4.32,22:00-23:00,1.14,0.57,64.46,10.5,3,Ya,Buruk,7.54,8,,7.39,6.84,7.06,6,5.4,10,4.16,Mata Perih,Tidak Ada,Ya,1.95,Tidak Aman,Tidak Tahu,Bad,kerja terlalu banyak,0.66
KRY08670,Rahmat Waluyo,,7/8/2022,,35.02,S1,Menikah,1,Teknik,Junior Developer,5.44,swasta,Menengah,,Ya,Malam,13.35,1.56,6.63,5,Sangat Berat,2,36.54,,22:00-23:00,,-4.2,32.39,9.45,2,Ya,Tidak Teratur,4.16,7.27,5.07,6.84,4.98,9.58,5.57,5.53,3.81,,Tidak Ada,Tidak,Tidak Ada Akses,2.67,Cukup Aman,Kurang Tahu,baik,burnout parah,0.79
13999,Salwa Megantara,,1/5/2023,Perempuan,22.28,,Menikah,0,Lainnya,Operations Staff,2.85,NGO,10-50 orang,,hybrid,Pagi,93.43,2.29,5.52,,Sedang,2,,6.86,jam 11,1.13,1.25,,6.12,1,Ya,Buruk,9.16,7.34,8.5,3.57,5.7,,7.02,7.68,2.65,5.46,Tidak,burnout,Tidak,9.44,Aman,Ada dan Efektif,cukup,baik-baik saja,0.81
